secteur;Activity;Country;Haul;Class;Type;Material;Fuel;load;Waste type;Size;Unit;Year;kg CO2e;kg CO2;kg CH4;kg N2O;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (average biofuel blend);;;;litres;;  0,59665;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (average biofuel blend);;;;kWh (Net CV);;  0,06665;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (average biofuel blend);;;;kWh (Gross CV);;  0,06317;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (100% mineral petrol);;;;tonnes;;815,1    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (100% mineral petrol);;;;litres;;  0,59585;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (100% mineral petrol);;;;kWh (Net CV);;  0,06552;;;;;;
WTT- fuels;Liquid fuels;;;;;;Petrol (100% mineral petrol);;;;kWh (Gross CV);;  0,06224;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - residual oil;;;;tonnes;;393,9    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - residual oil;;;;litres;;  0,38768;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - residual oil;;;;kWh (Net CV);;  0,03482;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - residual oil;;;;kWh (Gross CV);;  0,03273;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - distillate oil;;;;tonnes;;390,6    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - distillate oil;;;;litres;;  0,33355;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - distillate oil;;;;kWh (Net CV);;  0,03303;;;;;;
WTT- fuels;Liquid fuels;;;;;;Processed fuel oils - distillate oil;;;;kWh (Gross CV);;  0,03105;;;;;;
WTT- fuels;Liquid fuels;;;;;;Refinery miscellaneous;;;;tonnes;;359,2    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Refinery miscellaneous;;;;litres;;;;;;;;
WTT- fuels;Liquid fuels;;;;;;Refinery miscellaneous;;;;kWh (Net CV);;  0,0316 ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Refinery miscellaneous;;;;kWh (Gross CV);;  0,03002;;;;;;
WTT- fuels;Liquid fuels;;;;;;Waste oils;;;;tonnes;;388,3    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Waste oils;;;;litres;;  0,38215;;;;;;
WTT- fuels;Liquid fuels;;;;;;Waste oils;;;;kWh (Net CV);;  0,03432;;;;;;
WTT- fuels;Liquid fuels;;;;;;Waste oils;;;;kWh (Gross CV);;  0,03226;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine gas oil;;;;tonnes;;740,7    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine gas oil;;;;litres;;  0,63253;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine gas oil;;;;kWh (Net CV);;  0,06264;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine gas oil;;;;kWh (Gross CV);;  0,05888;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine fuel oil;;;;tonnes;;610,8    ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine fuel oil;;;;litres;;  0,60122;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine fuel oil;;;;kWh (Net CV);;  0,054  ;;;;;;
WTT- fuels;Liquid fuels;;;;;;Marine fuel oil;;;;kWh (Gross CV);;  0,05076;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (industrial);;;;tonnes;;382,5    ;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (industrial);;;;kWh (Net CV);;  0,05333;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (industrial);;;;kWh (Gross CV);;  0,05066;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation);;;;tonnes;;368,2    ;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation);;;;kWh (Net CV);;  0,05333;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation);;;;kWh (Gross CV);;  0,05066;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (domestic);;;;tonnes;;423,5    ;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (domestic);;;;kWh (Net CV);;  0,05333;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (domestic);;;;kWh (Gross CV);;  0,05066;;;;;;
WTT- fuels;Solid fuels;;;;;;Coking coal;;;;tonnes;;448,0       ;;;;;;
WTT- fuels;Solid fuels;;;;;;Coking coal;;;;kWh (Net CV);;  0,05333;;;;;;
WTT- fuels;Solid fuels;;;;;;Coking coal;;;;kWh (Gross CV);;  0,05066;;;;;;
WTT- fuels;Solid fuels;;;;;;Petroleum coke;;;;tonnes;;414,6    ;;;;;;
WTT- fuels;Solid fuels;;;;;;Petroleum coke;;;;kWh (Net CV);;  0,04394;;;;;;
WTT- fuels;Solid fuels;;;;;;Petroleum coke;;;;kWh (Gross CV);;  0,04174;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation - home produced coal only);;;;tonnes;;354,4    ;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation - home produced coal only);;;;kWh (Net CV);;  0,05333;;;;;;
WTT- fuels;Solid fuels;;;;;;Coal (electricity generation - home produced coal only);;;;kWh (Gross CV);;  0,05066;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Bioethanol;;;;litres;;0,61377;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Bioethanol;;;;GJ;; 28,83;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Bioethanol;;;;kg;;0,77274;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel;;;;litres;;0,31295;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel;;;;GJ;;  9,46;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel;;;;kg;;0,35175;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biomethane;;;;litres;;;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biomethane;;;;GJ;; 12,31;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biomethane;;;;kg;;0,60339;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from used cooking oil);;;;litres;;0,29360;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from used cooking oil);;;;GJ;;  8,87;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from used cooking oil);;;;kg;;0,33001;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from tallow);;;;litres;;0,45396;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from tallow);;;;GJ;; 13,72;;;;;;
WTT- bioenergy;WTT- biofuel;;;;;;Biodiesel (from tallow);;;;kg;;0,51025;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood logs;;;;tonnes;; 52,14;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood logs;;;;kWh;;0,01277;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood chips;;;;tonnes;; 30,40;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood chips;;;;kWh;;0,00792;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood pellets;;;;tonnes;;177,00;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Wood pellets;;;;kWh;;0,03744;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Grass/straw;;;;tonnes;; 68,65;;;;;;
WTT- bioenergy;WTT- biomass;;;;;;Grass/straw;;;;kWh;;0,01604;;;;;;
WTT- bioenergy;WTT- biogas;;;;;;Biogas;;;;tonnes;;133,61;;;;;;
WTT- bioenergy;WTT- biogas;;;;;;Biogas;;;;kWh;;0,02405;;;;;;
WTT- bioenergy;WTT- biogas;;;;;;Landfill gas;;;;tonnes;;0;;;;;;
WTT- bioenergy;WTT- biogas;;;;;;Landfill gas;;;;kWh;;0;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Mini;;Plug-in Hybrid Electric Vehicle;;;;km;;;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Mini;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00000;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Supermini;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00372;0,00369;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Supermini;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00598;0,00594;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Lower medium;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00306;0,00303;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Lower medium;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00491;0,00487;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Upper medium;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00352;0,00349;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Upper medium;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00566;0,00562;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Executive;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00365;0,00362;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Executive;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00586;0,00582;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Luxury;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00430;0,00427;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Luxury;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00694;0,00688;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Sports;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00341;0,00338;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Sports;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00548;0,00544;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Dual purpose 4X4;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00419;0,00416;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Dual purpose 4X5;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00675;0,00669;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;MPV;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00000;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;MPV;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00000;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Mini;;Battery Electric Vehicle;;;;km;;0,00452;0,00449;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Mini;;Battery Electric Vehicle;;;;miles;;0,00729;0,00723;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Supermini;;Battery Electric Vehicle;;;;km;;0,00410;0,00407;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Supermini;;Battery Electric Vehicle;;;;miles;;0,00661;0,00655;0,00002;0,00004;;;
