secteur;Activity;Country;Haul;Class;Type;Material;Fuel;load;Waste type;Size;Unit;Year;kg CO2e;kg CO2;kg CH4;kg N2O;;;
Material use;Plastic;;;;Re-used;Plastics: PET (incl. forming);;;;;tonnes;;;;;;;;
Material use;Plastic;;;;Re-used;Plastics: PP (incl. forming);;;;;tonnes;;;;;;;;
Material use;Plastic;;;;Re-used;Plastics: PS (incl. forming);;;;;tonnes;;;;;;;;
Material use;Plastic;;;;Re-used;Plastics: PVC (incl. forming);;;;;tonnes;;;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: average plastics;;;;;tonnes;;656,607;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: average plastic film;;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: average plastic rigid;;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: HDPE (incl. forming);;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: LDPE and LLDPE (incl. forming);;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: PET (incl. forming);;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: PP (incl. forming);;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: PS (incl. forming);;;;;tonnes;;1650,3656;;;;;;
Material use;Plastic;;;;Open-loop source;Plastics: PVC (incl. forming);;;;;tonnes;;604,3039;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: average plastics;;;;;tonnes;;2301,7403;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: average plastic film;;;;;tonnes;;1775,3704;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: average plastic rigid;;;;;tonnes;;2492,4999;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: HDPE (incl. forming);;;;;tonnes;;2157,0453;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: LDPE and LLDPE (incl. forming);;;;;tonnes;;1775,3704;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: PET (incl. forming);;;;;tonnes;;3188,5478;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: PP (incl. forming);;;;;tonnes;;2486,9982;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: PS (incl. forming);;;;;tonnes;;3178,8031;;;;;;
Material use;Plastic;;;;Closed-loop source;Plastics: PVC (incl. forming);;;;;tonnes;;2467,8182;;;;;;
Material use;Paper;;;;Primary material production;Paper and board: board;;;;;tonnes;;844,4816;;;;;;
Material use;Paper;;;;Primary material production;Paper and board: mixed;;;;;tonnes;;872,2746;;;;;;
Material use;Paper;;;;Primary material production;Paper and board: paper;;;;;tonnes;;955,6535;;;;;;
Material use;Paper;;;;Re-used;Paper and board: board;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Re-used;Paper and board: mixed;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Re-used;Paper and board: paper;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Open-loop source;Paper and board: board;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Open-loop source;Paper and board: mixed;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Open-loop source;Paper and board: paper;;;;;tonnes;;;;;;;;
Material use;Paper;;;;Closed-loop source;Paper and board: board;;;;;tonnes;;795,4032;;;;;;
Material use;Paper;;;;Closed-loop source;Paper and board: mixed;;;;;tonnes;;795,4032;;;;;;
Material use;Paper;;;;Closed-loop source;Paper and board: paper;;;;;tonnes;;795,4032;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Aggregates;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Average construction;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Asphalt;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Bricks;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Concrete;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Insulation;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Metals;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Soils;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Mineral oil;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Plasterboard;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Tyres;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Re-use;;;;Wood;;tonnes;;64,3758;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Aggregates;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Average construction;;tonnes;;1,37;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Asphalt;;tonnes;;1,37;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Bricks;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Concrete;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Insulation;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Metals;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Soils;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Mineral oil;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Plasterboard;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Tyres;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Open-loop;;;;Wood;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Aggregates;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Average construction;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Asphalt;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Bricks;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Concrete;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Insulation;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Metals;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Soils;;tonnes;;1,0192;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Mineral oil;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Plasterboard;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Tyres;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Closed-loop;;;;Wood;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Aggregates;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Average construction;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Asphalt;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Bricks;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Concrete;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Insulation;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Metals;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Soils;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Mineral oil;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Plasterboard;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Tyres;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Combustion;;;;Wood;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Composting;;;;Aggregates;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Average construction;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Asphalt;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Bricks;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Concrete;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Insulation;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Metals;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Soils;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Mineral oil;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Plasterboard;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Tyres;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Composting;;;;Wood;;tonnes;;21,3842;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Aggregates;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Average construction;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Asbestos;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Asphalt;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Bricks;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Concrete;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Insulation;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Metals;;tonnes;;1,277;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Soils;;tonnes;;17,6204;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Mineral oil;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Plasterboard;;tonnes;;71,95;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Tyres;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Landfill;;;;Wood;;tonnes;;828,1303;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Aggregates;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Average construction;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Asbestos;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Asphalt;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Bricks;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Concrete;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Insulation;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Metals;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Soils;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Mineral oil;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Plasterboard;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Tyres;;tonnes;;;;;;;;
Waste disposal;Construction;;;;Anaerobic digestion;;;;Wood;;tonnes;;;;;;;;
Waste disposal;Other;;;;Re-use;;;;Books;;tonnes;;;;;;;;
Waste disposal;Other;;;;Re-use;;;;Glass;;tonnes;;;;;;;;
Waste disposal;Other;;;;Re-use;;;;Clothing;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Open-loop;;;;Books;;tonnes;;;;;;;;
Waste disposal;Other;;;;Open-loop;;;;Glass;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Open-loop;;;;Clothing;;tonnes;;;;;;;;
Waste disposal;Other;;;;Closed-loop;;;;Books;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Closed-loop;;;;Glass;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Closed-loop;;;;Clothing;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Combustion;;;;Books;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Combustion;;;;Glass;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Combustion;;;;Clothing;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Composting;;;;Books;;tonnes;;21,3842;;;;;;
Waste disposal;Other;;;;Composting;;;;Glass;;tonnes;;;;;;;;
Waste disposal;Other;;;;Composting;;;;Clothing;;tonnes;;;;;;;;
Waste disposal;Other;;;;Landfill;;;;Books;;tonnes;;1041,9017;;;;;;
Waste disposal;Other;;;;Landfill;;;;Glass;;tonnes;;9;;;;;;
Waste disposal;Other;;;;Landfill;;;;Clothing;;tonnes;;445,0414;;;;;;
Waste disposal;Other;;;;Anaerobic digestion;;;;Books;;tonnes;;;;;;;;
Waste disposal;Other;;;;Anaerobic digestion;;;;Glass;;tonnes;;;;;;;;
Waste disposal;Other;;;;Anaerobic digestion;;;;Clothing;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Re-use;;;;Municipal waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Re-use;;;;Organic: food and drink waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Re-use;;;;Organic: garden waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Re-use;;;;Organic: mixed food and garden waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Re-use;;;;Commercial and industrial waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Open-loop;;;;Municipal waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Open-loop;;;;Organic: food and drink waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Open-loop;;;;Organic: garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Open-loop;;;;Organic: mixed food and garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Open-loop;;;;Commercial and industrial waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Closed-loop;;;;Municipal waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Closed-loop;;;;Organic: food and drink waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Closed-loop;;;;Organic: garden waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Closed-loop;;;;Organic: mixed food and garden waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Closed-loop;;;;Commercial and industrial waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Combustion;;;;Municipal waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Combustion;;;;Organic: food and drink waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Combustion;;;;Organic: garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Combustion;;;;Organic: mixed food and garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Combustion;;;;Commercial and industrial waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Composting;;;;Municipal waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Composting;;;;Organic: food and drink waste;;tonnes;;10,2586;;;;;;
Waste disposal;Refuse;;;;Composting;;;;Organic: garden waste;;tonnes;;10,2586;;;;;;
Waste disposal;Refuse;;;;Composting;;;;Organic: mixed food and garden waste;;tonnes;;10,2586;;;;;;
Waste disposal;Refuse;;;;Composting;;;;Commercial and industrial waste;;tonnes;;;;;;;;
Waste disposal;Refuse;;;;Landfill;;;;Municipal waste;;tonnes;;586,5313;;;;;;
Waste disposal;Refuse;;;;Landfill;;;;Organic: food and drink waste;;tonnes;;626,9729;;;;;;
Waste disposal;Refuse;;;;Landfill;;;;Organic: garden waste;;tonnes;;579,0571;;;;;;
Waste disposal;Refuse;;;;Landfill;;;;Organic: mixed food and garden waste;;tonnes;;587,4424;;;;;;
Waste disposal;Refuse;;;;Landfill;;;;Commercial and industrial waste;;tonnes;;99,7729;;;;;;
Waste disposal;Refuse;;;;Anaerobic digestion;;;;Municipal waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Anaerobic digestion;;;;Organic: food and drink waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Anaerobic digestion;;;;Organic: garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Anaerobic digestion;;;;Organic: mixed food and garden waste;;tonnes;;21,3842;;;;;;
Waste disposal;Refuse;;;;Anaerobic digestion;;;;Commercial and industrial waste;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Re-use;;;;WEEE - fridges and freezers;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Re-use;;;;WEEE - large;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Re-use;;;;WEEE - mixed;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Re-use;;;;WEEE - small;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Re-use;;;;Batteries;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Open-loop;;;;WEEE - fridges and freezers;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Open-loop;;;;WEEE - large;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Open-loop;;;;WEEE - mixed;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Open-loop;;;;WEEE - small;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Open-loop;;;;Batteries;;tonnes;;64,6365;;;;;;
Waste disposal;Electrical items;;;;Closed-loop;;;;WEEE - fridges and freezers;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Closed-loop;;;;WEEE - large;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Closed-loop;;;;WEEE - mixed;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Closed-loop;;;;WEEE - small;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Closed-loop;;;;Batteries;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Combustion;;;;WEEE - fridges and freezers;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Combustion;;;;WEEE - large;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Combustion;;;;WEEE - mixed;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Combustion;;;;WEEE - small;;tonnes;;21,3842;;;;;;
Waste disposal;Electrical items;;;;Combustion;;;;Batteries;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Composting;;;;WEEE - fridges and freezers;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Composting;;;;WEEE - large;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Composting;;;;WEEE - mixed;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Composting;;;;WEEE - small;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Composting;;;;Batteries;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Landfill;;;;WEEE - fridges and freezers;;tonnes;;16,58;;;;;;
Waste disposal;Electrical items;;;;Landfill;;;;WEEE - large;;tonnes;;16,58;;;;;;
Waste disposal;Electrical items;;;;Landfill;;;;WEEE - mixed;;tonnes;;16,58;;;;;;
Waste disposal;Electrical items;;;;Landfill;;;;WEEE - small;;tonnes;;16,58;;;;;;
Waste disposal;Electrical items;;;;Landfill;;;;Batteries;;tonnes;;75,4919;;;;;;
Waste disposal;Electrical items;;;;Anaerobic digestion;;;;WEEE - fridges and freezers;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Anaerobic digestion;;;;WEEE - large;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Anaerobic digestion;;;;WEEE - mixed;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Anaerobic digestion;;;;WEEE - small;;tonnes;;;;;;;;
Waste disposal;Electrical items;;;;Anaerobic digestion;;;;Batteries;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Re-use;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;;;;;;;
Waste disposal;Metal;;;;Re-use;;;;Metal: mixed cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Re-use;;;;Metal: scrap metal;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Re-use;;;;Metal: steel cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Open-loop;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;;;;;;;
Waste disposal;Metal;;;;Open-loop;;;;Metal: mixed cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Open-loop;;;;Metal: scrap metal;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Open-loop;;;;Metal: steel cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Closed-loop;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Closed-loop;;;;Metal: mixed cans;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Closed-loop;;;;Metal: scrap metal;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Closed-loop;;;;Metal: steel cans;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Combustion;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Combustion;;;;Metal: mixed cans;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Combustion;;;;Metal: scrap metal;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Combustion;;;;Metal: steel cans;;tonnes;;21,3842;;;;;;
Waste disposal;Metal;;;;Composting;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;;;;;;;
Waste disposal;Metal;;;;Composting;;;;Metal: mixed cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Composting;;;;Metal: scrap metal;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Composting;;;;Metal: steel cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Landfill;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;9;;;;;;
Waste disposal;Metal;;;;Landfill;;;;Metal: mixed cans;;tonnes;;9;;;;;;
Waste disposal;Metal;;;;Landfill;;;;Metal: scrap metal;;tonnes;;9;;;;;;
Waste disposal;Metal;;;;Landfill;;;;Metal: steel cans;;tonnes;;9;;;;;;
Waste disposal;Metal;;;;Anaerobic digestion;;;;Metal: aluminium cans and foil (excl. forming);;tonnes;;;;;;;;
Waste disposal;Metal;;;;Anaerobic digestion;;;;Metal: mixed cans;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Anaerobic digestion;;;;Metal: scrap metal;;tonnes;;;;;;;;
Waste disposal;Metal;;;;Anaerobic digestion;;;;Metal: steel cans;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: average plastics;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: average plastic film;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: average plastic rigid;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: HDPE (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: LDPE and LLDPE (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: PET (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: PP (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: PS (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Re-use;;;;Plastics: PVC (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: average plastics;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: average plastic film;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: average plastic rigid;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: HDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: LDPE and LLDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: PET (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: PP (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: PS (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Open-loop;;;;Plastics: PVC (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: average plastics;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: average plastic film;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: average plastic rigid;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: HDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: LDPE and LLDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: PET (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: PP (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: PS (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Closed-loop;;;;Plastics: PVC (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: average plastics;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: average plastic film;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: average plastic rigid;;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: HDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: LDPE and LLDPE (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: PET (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: PP (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: PS (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Combustion;;;;Plastics: PVC (incl. forming);;tonnes;;21,3842;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: average plastics;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: average plastic film;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: average plastic rigid;;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: HDPE (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: LDPE and LLDPE (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: PET (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: PP (incl. forming);;tonnes;;;;;;;;
Waste disposal;Plastic;;;;Composting;;;;Plastics: PS (incl. forming);;tonnes;;;;;;;;
